time_s,ax,ay,az,gx,gy,gz,mx,my,mz
24.992,-1.0533,-0.7064,-0.1567,-16.6473,25.7874,67.6498,35.8448,339.1432,-482.0596
25.011,-1.1830,-0.7053,-0.1395,-12.4893,-39.9857,78.9108,35.8448,339.1432,-482.0596
25.031,-1.2472,-0.6162,0.0385,-65.7959,-113.4262,27.8778,35.8448,339.1432,-482.0596
25.050,-1.7394,-0.7742,0.1625,-77.2247,-187.6984,46.1502,35.8448,339.1432,-482.0596
25.070,-2.0000,-0.8046,-0.0661,-2.1667,-231.9031,31.6467,-55.5594,330.1234,-438.8643
25.089,-2.0000,-1.2065,-0.0172,2.3422,-250.0000,-102.8519,-55.5594,330.1234,-438.8643
25.109,-1.7546,-1.3721,0.3482,56.9229,-250.0000,22.9568,-55.5594,330.1234,-438.8643
25.128,-1.7662,-1.7914,0.4182,59.7534,-250.0000,45.3720,-55.5594,330.1234,-438.8643
25.148,-1.2836,-1.9891,0.3962,114.9902,-250.0000,46.9894,-55.5594,330.1234,-438.8643
25.167,-1.1327,-1.9865,0.4792,166.1072,-250.0000,114.1586,-55.5594,330.1234,-438.8643
25.187,-1.1364,-1.9310,0.3541,150.3296,-250.0000,123.1232,-105.7421,247.1416,-44.9231
25.207,-0.4605,-1.8146,0.4934,193.4052,-250.0000,58.3649,-105.7421,247.1416,-44.9231
25.226,0.0575,-1.6714,0.6507,231.0257,-250.0000,78.4760,-105.7421,247.1416,-44.9231
25.246,0.0387,-1.3484,0.5254,228.9734,-250.0000,102.3483,-105.7421,247.1416,-44.9231
25.265,0.0109,-1.2683,0.3381,230.7129,-250.0000,81.6803,-105.7421,247.1416,-44.9231
25.285,0.0871,-1.1797,0.3066,240.6311,-250.0000,24.7574,-105.7421,247.1416,-44.9231
25.304,0.3567,-1.1470,0.3396,249.9466,-250.0000,-36.1710,-105.7421,247.1416,-44.9231
25.324,0.3976,-0.9623,0.2718,249.9924,-250.0000,-47.3480,-353.0711,-106.4332,120.9469
25.343,0.3590,-0.7516,0.2767,249.9924,-250.0000,-65.1779,-353.0711,-106.4332,120.9469
25.363,0.3995,-0.7175,0.2763,249.9924,-250.0000,-99.4644,-353.0711,-106.4332,120.9469
25.382,0.3203,-0.7184,0.3457,249.9924,-250.0000,-119.9265,-353.0711,-106.4332,120.9469
25.402,0.2866,-0.6850,0.2865,249.9924,-250.0000,-135.6583,-353.0711,-106.4332,120.9469
25.421,0.3116,-0.7090,0.2991,249.9924,-250.0000,-156.7459,-353.0711,-106.4332,120.9469
25.441,0.3254,-0.7354,0.2238,249.9924,-225.2426,-170.5475,-514.3726,-196.6309,-114.0356
25.460,0.2024,-0.7620,0.2009,249.9924,-187.1872,-176.1322,-514.3726,-196.6309,-114.0356
25.480,0.0688,-0.9471,0.1829,248.1079,-173.8358,-193.2678,-514.3726,-196.6309,-114.0356
25.500,0.1115,-1.0634,-0.0512,239.3723,-168.4952,-211.0367,-514.3726,-196.6309,-114.0356
25.519,0.0574,-1.1100,-0.0796,223.3505,-172.7448,-221.5424,-514.3726,-196.6309,-114.0356
25.539,-0.0333,-1.1541,-0.1542,202.0111,-196.3501,-250.0000,-514.3726,-196.6309,-114.0356
25.558,-0.1936,-1.3161,-0.0858,176.7807,-188.0646,-250.0000,-514.3726,-196.6309,-114.0356
25.578,-0.3215,-1.4261,-0.1130,167.2363,-139.0457,-250.0000,-474.9434,55.9226,-362.8405
25.597,-0.5895,-1.4313,0.0087,149.4751,-99.4110,-250.0000,-474.9434,55.9226,-362.8405
25.617,-0.8837,-1.5016,0.0964,138.4735,-57.0908,-250.0000,-474.9434,55.9226,-362.8405
25.636,-1.4382,-1.5682,0.2360,155.5328,19.8898,-212.0972,-474.9434,55.9226,-362.8405
25.656,-2.0000,-1.3989,-0.0771,182.3349,95.9778,-135.4141,-474.9434,55.9226,-362.8405
25.675,-2.0000,-0.1809,-2.0000,-250.0000,249.9924,-250.0000,-474.9434,55.9226,-362.8405
25.695,1.9999,-0.8638,0.3470,249.9924,-250.0000,-250.0000,-218.6532,331.9274,-471.6927
25.714,-2.0000,0.2635,-0.4061,203.2013,156.3339,248.5580,-218.6532,331.9274,-471.6927
25.734,-1.9344,-0.4941,-0.9609,1.3733,-31.8985,30.3955,-218.6532,331.9274,-471.6927
25.753,-1.0248,-0.5678,-0.4417,120.0256,-60.2417,-80.4672,-218.6532,331.9274,-471.6927
25.773,-0.8486,-0.5245,-0.3485,121.7651,-11.4975,-26.9470,-218.6532,331.9274,-471.6927
25.792,-1.0391,-0.6283,-0.4453,79.2313,19.1727,3.4943,-218.6532,331.9274,-471.6927
25.812,-0.9341,-0.7285,-0.3156,104.8965,15.3580,7.0648,-218.6532,331.9274,-471.6927
25.832,-0.5798,-0.6055,-0.2698,116.7068,38.1699,42.0761,-186.3929,371.6143,-499.3377
25.851,-0.5304,-0.6251,-0.6370,-47.6608,88.9511,78.8498,-186.3929,371.6143,-499.3377
25.871,-0.6335,-0.6262,-0.6218,32.5470,3.8452,-16.9296,-186.3929,371.6143,-499.3377
25.890,-0.3737,-0.5468,-0.3433,25.4517,-67.3828,-30.4947,-186.3929,371.6143,-499.3377
25.910,-0.4088,-0.7509,-0.3523,-4.1885,-104.7134,-17.8757,-186.3929,371.6143,-499.3377
25.929,-0.6035,-0.8067,-0.2831,17.6849,-155.5634,-26.2527,-186.3929,371.6143,-499.3377
25.949,-0.6769,-0.7697,-0.2100,15.1062,-179.9164,-10.9177,-181.0161,405.8894,-463.0536
25.968,-0.7581,-0.6948,-0.1158,1.8921,-210.2737,-9.1171,-181.0161,405.8894,-463.0536
25.988,-0.6915,-0.7636,-0.1011,-20.0424,-206.0013,-24.1241,-181.0161,405.8894,-463.0536
26.007,-0.6060,-0.8419,-0.1263,-32.2037,-220.8710,-10.2539,-181.0161,405.8894,-463.0536
26.027,-0.6162,-0.9102,-0.0471,-30.4642,-178.4744,-15.2359,-181.0161,405.8894,-463.0536
26.046,-0.6323,-0.8814,0.0146,-53.2227,-148.7427,9.7656,-181.0161,405.8894,-463.0536
26.066,-0.5770,-0.9315,0.0663,-75.0275,-132.9651,28.3432,-177.4317,416.7132,-210.7931
26.085,-0.5776,-0.9714,0.1797,-80.3299,-98.2895,53.4286,-177.4317,416.7132,-210.7931
26.105,-0.6248,-0.9738,0.2050,-97.1603,-65.6128,69.7174,-177.4317,416.7132,-210.7931
26.125,-0.6904,-0.9369,0.2300,-97.4960,-72.7005,88.4857,-177.4317,416.7132,-210.7931
26.144,-0.6129,-0.9829,0.3489,-93.5287,-46.8216,104.2862,-177.4317,416.7132,-210.7931
26.164,-0.6633,-0.8484,0.3388,-145.1950,-6.4545,91.9495,-177.4317,416.7132,-210.7931
26.183,-0.5617,-0.8773,0.2855,-106.3690,-8.8425,61.0809,-177.4317,416.7132,-210.7931
26.203,-0.6981,-0.7744,0.3063,-121.4752,-2.1667,60.6537,-258.0824,378.8301,-84.6628
26.222,-0.6885,-0.8233,0.2195,-131.2714,22.8577,47.9507,-258.0824,378.8301,-84.6628
26.242,-0.7197,-0.9141,0.2095,-128.2501,13.6871,42.2058,-258.0824,378.8301,-84.6628
26.261,-0.8355,-0.8268,0.2747,-132.6218,13.9465,64.7659,-258.0824,378.8301,-84.6628
26.281,-0.8006,-0.9504,0.2814,-150.0397,15.6860,70.7703,-258.0824,378.8301,-84.6628
26.300,-0.7476,-1.0435,0.3696,-134.5139,38.5742,87.2421,-258.0824,378.8301,-84.6628
26.320,-0.7408,-0.9672,0.4099,-139.2670,93.7347,115.1810,-277.7971,326.5155,-79.4794
