time_s,ax,ay,az,gx,gy,gz,mx,my,mz
25.008,-0.0773,-0.0880,0.8710,-13.8245,-8.5983,-5.4626,-10.7534,10.8237,5.1834
25.028,-0.0800,-0.0904,0.8654,-14.4730,-9.6512,-5.9280,-10.7534,10.8237,5.1834
25.047,-0.0824,-0.0952,0.8666,-14.5340,-10.3149,-5.5618,-10.7534,10.8237,5.1834
25.067,-0.0786,-0.0932,0.8752,-14.3051,-10.4065,-5.5237,-10.7534,10.8237,5.1834
25.086,-0.0840,-0.0953,0.8737,-14.4196,-9.9640,-5.1956,-16.1302,16.2356,-20.7337
25.106,-0.0748,-0.0895,0.8768,-14.4958,-9.2392,-5.7068,-16.1302,16.2356,-20.7337
25.125,-0.0799,-0.0942,0.8726,-14.6255,-9.3842,-5.9128,-16.1302,16.2356,-20.7337
25.145,-0.0795,-0.1002,0.8686,-14.5950,-9.6741,-6.0730,-16.1302,16.2356,-20.7337
25.165,-0.0815,-0.0985,0.8737,-14.6332,-10.2386,-5.6381,-16.1302,16.2356,-20.7337
25.184,-0.0850,-0.0984,0.8662,-14.6866,-9.9030,-5.5771,-16.1302,16.2356,-20.7337
25.204,-0.0815,-0.1016,0.8766,-14.8315,-10.7269,-6.1493,-14.3379,21.6474,-1.7278
25.223,-0.0707,-0.0962,0.8748,-15.1062,-11.3678,-5.6381,-14.3379,21.6474,-1.7278
25.243,-0.0689,-0.0909,0.8765,-14.6561,-10.6354,-5.6992,-14.3379,21.6474,-1.7278
25.262,-0.0674,-0.0896,0.8715,-14.1907,-10.6125,-5.5923,-14.3379,21.6474,-1.7278
25.282,-0.0724,-0.0911,0.8696,-13.5727,-10.2615,-5.3177,-14.3379,21.6474,-1.7278
25.301,-0.0844,-0.0897,0.8697,-12.9852,-9.5139,-4.8752,-14.3379,21.6474,-1.7278
25.321,-0.0856,-0.0888,0.8682,-13.5345,-9.7885,-5.3787,-14.3379,21.6474,-1.7278
25.340,-0.0806,-0.0948,0.8723,-14.9078,-10.0861,-5.0507,1.7922,-1.8040,-0.0000
25.360,-0.0779,-0.0980,0.8803,-15.9225,-10.8490,-5.1880,1.7922,-1.8040,-0.0000
25.379,-0.0709,-0.0955,0.8799,-16.0904,-10.8795,-5.6610,1.7922,-1.8040,-0.0000
25.399,-0.0740,-0.0940,0.8782,-16.0599,-9.5978,-5.4779,1.7922,-1.8040,-0.0000
25.418,-0.0721,-0.0945,0.8771,-16.0904,-9.3307,-5.2490,1.7922,-1.8040,-0.0000
25.438,-0.0618,-0.1014,0.8769,-16.0675,-9.5978,-5.4245,1.7922,-1.8040,-0.0000
25.458,-0.0631,-0.0997,0.8855,-15.8920,-8.6975,-5.4550,-28.6758,-0.0000,-8.6391
25.477,-0.0728,-0.0955,0.8798,-15.3580,-8.4763,-5.4474,-28.6758,-0.0000,-8.6391
25.497,-0.0685,-0.0950,0.8824,-14.5187,-7.8735,-5.6076,-28.6758,-0.0000,-8.6391
25.516,-0.0728,-0.0994,0.8763,-14.3661,-7.0953,-5.6000,-28.6758,-0.0000,-8.6391
25.536,-0.0776,-0.0977,0.8730,-14.5111,-7.7362,-5.6763,-28.6758,-0.0000,-8.6391
25.555,-0.0765,-0.0967,0.8724,-14.4882,-8.5144,-5.2795,-28.6758,-0.0000,-8.6391
25.575,-0.0759,-0.0917,0.8698,-14.3356,-8.8882,-5.1422,-16.1302,9.0198,10.3669
25.594,-0.0714,-0.0950,0.8825,-14.4119,-9.1171,-5.5161,-16.1302,9.0198,10.3669
25.614,-0.0780,-0.0929,0.8841,-14.8163,-8.8959,-6.0349,-16.1302,9.0198,10.3669
25.633,-0.0760,-0.0975,0.8790,-14.8697,-9.6970,-6.2790,-16.1302,9.0198,10.3669
25.653,-0.0743,-0.0966,0.8802,-14.7705,-8.5907,-5.9967,-16.1302,9.0198,10.3669
25.672,-0.0785,-0.1010,0.8787,-14.5645,-8.7433,-6.0959,-16.1302,9.0198,10.3669
25.692,-0.0751,-0.0985,0.8779,-14.4653,-9.1019,-6.3553,-16.1302,9.0198,10.3669
25.711,-0.0767,-0.0974,0.8775,-14.3509,-9.1400,-6.5231,-7.1690,-3.6079,-12.0947
25.731,-0.0739,-0.0978,0.8741,-13.8931,-8.7280,-6.7978,-7.1690,-3.6079,-12.0947
25.750,-0.0676,-0.1027,0.8755,-13.6566,-8.4381,-7.0419,-7.1690,-3.6079,-12.0947
25.770,-0.0700,-0.1116,0.8818,-13.2523,-8.2855,-7.3776,-7.1690,-3.6079,-12.0947
25.790,-0.0659,-0.1007,0.8792,-12.5580,-8.1940,-7.0419,-7.1690,-3.6079,-12.0947
25.809,-0.0621,-0.0948,0.8757,-11.0245,-6.3324,-7.2556,-7.1690,-3.6079,-12.0947
25.829,-0.0624,-0.0866,0.8691,-10.3989,-4.4174,-7.6981,-5.3767,5.4119,-6.9112
25.848,-0.0772,-0.0878,0.8608,-9.7504,-5.0430,-7.7057,-5.3767,5.4119,-6.9112
25.868,-0.0976,-0.0815,0.8665,-9.4910,-4.3106,-8.0261,-5.3767,5.4119,-6.9112
25.887,-0.1032,-0.0736,0.8633,-11.1008,-3.9978,-8.9951,-5.3767,5.4119,-6.9112
25.907,-0.0906,-0.0696,0.8677,-12.3215,-5.5084,-8.7128,-5.3767,5.4119,-6.9112
25.926,-0.0908,-0.0654,0.8776,-13.2904,-7.4463,-7.8125,-5.3767,5.4119,-6.9112
25.946,-0.1002,-0.0613,0.8809,-14.0305,-6.1035,-8.5144,-5.3767,5.4119,-6.9112
25.965,-0.0923,-0.0587,0.8817,-14.4882,-5.0964,-10.1547,-7.1690,-3.6079,-5.1834
25.985,-0.0935,-0.0588,0.8835,-14.9078,-3.9520,-11.5891,-7.1690,-3.6079,-5.1834
26.004,-0.0961,-0.0610,0.8730,-15.7166,-4.7836,-12.5732,-7.1690,-3.6079,-5.1834
26.024,-0.0942,-0.0695,0.8589,-17.6392,-5.4626,-13.3362,-7.1690,-3.6079,-5.1834
26.043,-0.0914,-0.0705,0.8480,-19.2795,-5.2185,-12.6877,-7.1690,-3.6079,-5.1834
26.063,-0.1196,-0.0821,0.8365,-20.5231,-6.8436,-10.4904,-7.1690,-3.6079,-5.1834
26.083,-0.1284,-0.0889,0.8429,-21.4996,-10.8719,-9.8190,1.7922,12.6277,-27.6450
26.102,-0.1193,-0.1097,0.8427,-22.1329,-13.1607,-8.6212,1.7922,12.6277,-27.6450
26.122,-0.1171,-0.1240,0.8521,-22.7509,-14.6637,-6.2408,1.7922,12.6277,-27.6450
26.141,-0.1053,-0.1394,0.8604,-23.2849,-17.0898,-4.6234,1.7922,12.6277,-27.6450
26.161,-0.0974,-0.1494,0.8694,-23.0865,-18.3640,-3.8376,1.7922,12.6277,-27.6450
26.180,-0.0746,-0.1523,0.8798,-21.5683,-19.1650,-3.1815,1.7922,12.6277,-27.6450
26.200,-0.0710,-0.1520,0.8846,-19.1574,-17.7155,-2.0447,1.7922,12.6277,-27.6450
26.219,-0.0730,-0.1469,0.8844,-16.6855,-17.0212,-1.1749,-12.5457,-1.8040,-27.6450
26.239,-0.0741,-0.1330,0.8893,-14.1754,-17.0593,-0.7401,-12.5457,-1.8040,-27.6450
26.258,-0.0712,-0.1251,0.8859,-12.9700,-17.1890,-0.4425,-12.5457,-1.8040,-27.6450
26.278,-0.0677,-0.1180,0.8930,-11.9858,-16.0141,-0.6027,-12.5457,-1.8040,-27.6450
26.297,-0.0797,-0.1176,0.8884,-12.5732,-12.8784,-1.4801,-12.5457,-1.8040,-27.6450
26.317,-0.0624,-0.1085,0.8877,-13.0157,-11.4975,-3.7308,-12.5457,-1.8040,-27.6450
26.336,-0.0523,-0.1129,0.8837,-12.9318,-11.4212,-4.9820,-5.3767,-5.4119,-10.3669
26.356,-0.0633,-0.1127,0.8851,-12.3291,-8.5831,-5.0812,-5.3767,-5.4119,-10.3669
26.375,-0.0615,-0.1133,0.8835,-11.9476,-5.9738,-5.7602,-5.3767,-5.4119,-10.3669
26.395,-0.0712,-0.1157,0.8849,-12.1231,-5.5466,-6.2943,-5.3767,-5.4119,-10.3669
26.415,-0.0679,-0.1202,0.8855,-12.2986,-4.6616,-8.0032,-5.3767,-5.4119,-10.3669
26.434,-0.0745,-0.1174,0.8797,-12.6953,-3.9673,-7.4615,-5.3767,-5.4119,-10.3669
26.454,-0.0786,-0.1214,0.8815,-12.5427,-4.5319,-7.5760,-12.5457,-9.0198,-13.8225
26.473,-0.0728,-0.1198,0.8865,-12.0850,-4.5395,-7.2937,-12.5457,-9.0198,-13.8225
26.493,-0.0764,-0.1035,0.8861,-11.3068,-5.0659,-6.1340,-12.5457,-9.0198,-13.8225
26.512,-0.0882,-0.0971,0.8766,-10.4370,-5.6305,-4.6463,-12.5457,-9.0198,-13.8225
26.532,-0.0893,-0.0842,0.8758,-10.1471,-6.2256,-3.7766,-12.5457,-9.0198,-13.8225
26.551,-0.0872,-0.0806,0.8764,-10.4065,-7.3929,-3.4866,-12.5457,-9.0198,-13.8225
26.571,-0.0955,-0.0822,0.8734,-11.4594,-7.7209,-3.5324,-12.5457,-9.0198,-13.8225
26.590,-0.0875,-0.0845,0.8772,-12.1231,-7.9575,-3.9749,-0.0000,14.4316,-12.0947
26.610,-0.0799,-0.0905,0.8768,-12.3444,-8.1635,-4.3030,-0.0000,14.4316,-12.0947
26.629,-0.0775,-0.0959,0.8706,-12.3596,-6.0806,-5.2948,-0.0000,14.4316,-12.0947
26.649,-0.0741,-0.0959,0.8660,-12.3749,-5.0201,-6.4468,-0.0000,14.4316,-12.0947
