time_s,ax,ay,az,gx,gy,gz,mx,my,mz
24.974,-0.0109,-0.0803,0.9088,-13.4354,8.0338,-15.1520,-34.0525,-10.8237,-3.4556
24.994,-0.0193,-0.0806,0.9096,-13.7024,8.8959,-15.1443,-34.0525,-10.8237,-3.4556
25.013,-0.0206,-0.0820,0.9053,-13.9008,9.0942,-15.4037,-34.0525,-10.8237,-3.4556
25.033,-0.0259,-0.0825,0.9077,-14.3433,9.9564,-15.6174,-34.0525,-10.8237,-3.4556
25.052,-0.0305,-0.0864,0.9147,-14.0076,11.0168,-16.0141,-12.5457,-7.2158,-10.3669
25.072,-0.0333,-0.0825,0.9203,-12.7106,11.4059,-16.4642,-12.5457,-7.2158,-10.3669
25.091,-0.0354,-0.0767,0.9157,-11.7950,12.6419,-16.9067,-12.5457,-7.2158,-10.3669
25.111,-0.0441,-0.0718,0.9182,-10.7193,13.2599,-17.2043,-12.5457,-7.2158,-10.3669
25.130,-0.0352,-0.0685,0.9153,-10.3760,13.5956,-17.3111,-12.5457,-7.2158,-10.3669
25.150,-0.0474,-0.0616,0.9186,-10.9177,13.8092,-17.1509,-12.5457,-7.2158,-10.3669
25.169,-0.0523,-0.0667,0.9144,-11.5280,11.7340,-17.9596,-12.5457,-7.2158,-10.3669
25.189,-0.0509,-0.0683,0.9124,-11.7798,10.1013,-17.8375,-17.9224,19.8435,-12.0947
25.208,-0.0526,-0.0690,0.9175,-11.8713,8.1711,-17.5400,-17.9224,19.8435,-12.0947
25.228,-0.0558,-0.0662,0.9166,-12.0163,6.7978,-17.3264,-17.9224,19.8435,-12.0947
25.248,-0.0571,-0.0630,0.9064,-12.3367,5.7983,-17.5629,-17.9224,19.8435,-12.0947
25.267,-0.0565,-0.0602,0.9080,-12.7869,4.6844,-18.1122,-17.9224,19.8435,-12.0947
25.287,-0.0502,-0.0594,0.9067,-13.3743,4.1275,-18.3105,-17.9224,19.8435,-12.0947
25.306,-0.0516,-0.0540,0.9005,-14.1525,3.7918,-18.4708,-10.7534,5.4119,-29.3728
25.326,-0.0558,-0.0596,0.9005,-15.3198,2.4567,-19.5084,-10.7534,5.4119,-29.3728
25.345,-0.0524,-0.0689,0.9009,-16.2659,1.5793,-20.0577,-10.7534,5.4119,-29.3728
25.365,-0.0492,-0.0626,0.9018,-17.0746,1.5640,-20.0653,-10.7534,5.4119,-29.3728
25.384,-0.0522,-0.0671,0.9160,-18.0817,1.1520,-20.2255,-10.7534,5.4119,-29.3728
25.404,-0.0586,-0.0930,0.9226,-19.3253,1.4496,-20.0729,-10.7534,5.4119,-29.3728
25.423,-0.0493,-0.0984,0.9225,-19.2261,0.9995,-19.2795,-10.7534,5.4119,-29.3728
25.443,-0.0370,-0.0955,0.9259,-18.5394,0.2136,-18.5242,-3.5845,-1.8039,-12.0947
25.462,-0.0316,-0.0890,0.9371,-18.4326,0.7553,-17.9901,-3.5845,-1.8039,-12.0947
25.482,-0.0327,-0.0759,0.9478,-18.1351,1.6022,-17.3874,-3.5845,-1.8039,-12.0947
25.501,-0.0245,-0.0884,0.9553,-18.5928,1.4420,-17.8604,-3.5845,-1.8039,-12.0947
25.521,-0.0256,-0.1202,0.9625,-19.4244,0.8545,-17.9672,-3.5845,-1.8039,-12.0947
25.541,-0.0375,-0.1339,0.9653,-18.5547,1.8692,-17.2043,-3.5845,-1.8039,-12.0947
25.560,-0.0375,-0.1196,0.9648,-16.0217,3.6240,-15.8539,1.7922,3.6079,-20.7337
25.580,-0.0246,-0.1143,0.9549,-13.0539,6.0120,-14.6637,1.7922,3.6079,-20.7337
25.599,-0.0343,-0.1149,0.9401,-11.6806,6.2790,-14.1525,1.7922,3.6079,-20.7337
25.619,-0.0284,-0.1051,0.9429,-12.0544,4.1504,-15.3198,1.7922,3.6079,-20.7337
25.638,-0.0323,-0.1063,0.9354,-12.1994,2.6932,-15.0375,1.7922,3.6079,-20.7337
25.658,-0.0432,-0.1016,0.9313,-12.1918,2.3880,-14.0839,1.7922,3.6079,-20.7337
25.677,-0.0430,-0.0981,0.9273,-11.2152,3.0136,-14.3509,1.7922,3.6079,-20.7337
25.697,-0.0387,-0.0928,0.9305,-10.8109,3.8834,-13.8702,-1.7922,0.0000,3.4556
25.716,-0.0468,-0.0905,0.9301,-10.9634,5.3787,-13.1378,-1.7922,0.0000,3.4556
25.736,-0.0422,-0.0896,0.9351,-11.2228,6.1035,-13.0768,-1.7922,0.0000,3.4556
