time_s,ax,ay,az,gx,gy,gz,qx,qy,qz,qw
3.177,-5.3633,-1.0742,7.2773,-0.1699,-0.2539,0.0898,0.0000,0.0000,0.0000,0.0000
3.196,-5.6680,-1.3008,6.7812,-0.0391,-0.3906,-0.0312,0.0000,0.0000,0.0000,0.0000
3.216,-6.2070,-1.5703,6.7070,0.1152,-0.7285,-0.1719,-0.2061,0.2130,0.5189,0.8019
3.237,-6.8516,-1.9141,6.5117,0.2441,-1.3652,-0.3359,-0.2061,0.2130,0.5189,0.8019
3.278,-4.3281,-1.8398,6.6680,0.5039,-0.9707,-0.4844,-0.1892,0.1924,0.5178,0.8118
3.300,-5.4766,-1.7227,6.9297,0.6934,-1.3750,-0.6406,-0.1892,0.1924,0.5178,0.8118
3.319,-6.7422,-1.8008,6.8906,0.8652,-2.3945,-0.6953,-0.1648,0.1725,0.5098,0.8265
3.340,-4.2891,-1.4922,6.8242,1.0332,-2.7832,-0.6719,-0.1648,0.1725,0.5098,0.8265
3.360,-4.0234,-1.2266,7.2734,1.2285,-2.9258,-0.8262,-0.1648,0.1725,0.5098,0.8265
3.382,-4.1367,-0.4961,8.5000,1.2969,-3.3066,-1.0234,-0.1135,0.1278,0.5005,0.8487
3.401,-3.1406,0.3828,9.4648,1.2441,-3.3945,-1.0957,-0.1135,0.1278,0.5005,0.8487
3.422,0.3438,1.2266,9.7305,1.0977,-2.6426,-1.1250,-0.0492,0.0715,0.4821,0.8718
3.442,0.8828,1.3008,9.5391,0.9766,-1.7754,-1.0977,-0.0492,0.0715,0.4821,0.8718
3.463,1.6094,2.0312,9.4648,0.8594,-1.0703,-1.1016,-0.0492,0.0715,0.4821,0.8718
3.484,1.4180,2.3359,9.6875,0.7500,-0.7207,-1.1133,-0.0042,0.0381,0.4576,0.8884
3.504,0.9961,2.1836,9.6523,0.6855,-0.6562,-1.0488,-0.0042,0.0381,0.4576,0.8884
3.524,0.9570,2.0312,9.7695,0.6133,-0.6816,-0.9902,0.0195,0.0300,0.4280,0.9031
3.545,0.7266,1.9531,10.0703,0.5332,-0.5898,-0.9082,0.0195,0.0300,0.4280,0.9031
3.566,1.2266,2.1445,10.1523,0.4570,-0.3359,-0.8457,0.0195,0.0300,0.4280,0.9031
3.586,1.2656,2.1055,9.9609,0.4121,-0.1660,-0.7891,0.0368,0.0231,0.3954,0.9175
3.607,0.8047,2.1445,9.9219,0.3867,-0.0801,-0.7773,0.0368,0.0231,0.3954,0.9175
3.627,0.3047,2.0312,9.6094,0.3906,-0.0488,-0.7578,0.0471,0.0241,0.3719,0.9268
3.650,0.2695,1.9531,8.6992,0.4414,0.1172,-0.8047,0.0471,0.0241,0.3719,0.9268
3.668,-0.4219,1.7617,8.5000,0.5059,0.0977,-0.9102,0.0471,0.0241,0.3719,0.9268
3.689,-0.5352,1.9531,8.6562,0.5781,0.0176,-0.9746,0.0561,0.0302,0.3497,0.9347
